Stuffy Nose	45-54 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	45-54	3/26/2012 2:38:11 AM	It didn't work for me - after I took it - I couldn't sleep and was up all night.   I am not sure if this is because I take high blood medication.
Sinus Headache	55-64 on Treatment for less than 1 month (Patient) 	5	5	5		55-64	3/7/2012 8:09:29 PM	Purchase a shelf medication product at Walmart. It had no effect but once I took this medication I felt releave in 30-60 minutes. I suffer for three days before finding this medication.  
Stuffy Nose	nono, 35-44 Female  on Treatment for 5 to less than 10 years	4	5	5	Female	35-44	1/27/2012 6:53:18 AM	same time relief
Sinus Headache	Advil cold and Sinus, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	55-64	5/7/2010 10:43:25 AM	I was having sinus headaches and I took this med. and had relief within 30-45 mins.
Sinus Headache	KennyN, 45-54 Male  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Male	45-54	10/31/2009 8:03:37 PM	Works well, when nothing else would. 
Runny Nose	me, 25-34 Male  on Treatment for less than 1 month (Patient) 	4	5	4	Male	25-34	5/10/2009 10:36:41 PM	seems to lessen the effects of a cold dramatically, but does not eliminate a cold.
Sinus Headache	13-18 Male  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Male	13-18	1/28/2009 1:42:47 AM	
Other	NATALY, 25-34 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	25-34	1/9/2008 8:19:36 AM	
Sinus Headache	Matthew, 35-44 Male  on Treatment for less than 1 month (Patient) 	4	4	2	Male	35-44	12/17/2007 2:06:53 AM	Although the syptoms seem to dissipate with use, the severe sweating is not a great side effect.Not a big fan of the constipation either, but I do appreciate the relief of the severe headaches.
Sinus Headache		5	5	5			11/21/2007 7:03:33 AM	This has got to be the best Cold and Sinus medicine ever.  It works better for me than prescribed medications do.
