Rheumatoid Arthritis	45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	45-54	8/8/2012 10:03:43 AM	
Rheumatic Disease causing Pain &amp;amp; Stiffness in Backbone	Mare, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	3	3	3	Female	55-64	8/8/2012 5:48:46 AM	The medicine has helped my ankloysing spondilitis but I am retaining fluid in my legs and feet for first four days ater the shot.  
Rheumatic Disease causing Pain &amp;amp; Stiffness in Backbone	Britney, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	1	4	1	Female	25-34	7/26/2012 5:15:41 PM	Started this medicine when I was 26.. barely noticed it helping with my condition. 5 months into treatment I lost feeling in my face, my vision doubled, and had extremely intense vertigo. Enbrel had eaten the myelin from parts of my brain. I discontinued my Enbrel treatment and flew to Mayo Clinic in Rochester where it was concluded that the Enbrel had triggered an MS episode that I didn't have before starting Enbrel. Now - 3 years later- I have the attention span of a gnat, I can't remember things that should be easy to remember, I still have vertigo every single day, and the lesions are still on my brain, but they are currently inactive. The doctors at Mayo said there is a 60% chance of them becoming active again. TAKE SERIOUS PRECAUTION if you are considering this medicine. I was only 26 years old and never thought I'd be part of the statistics in tiny print at the bottom of the prescription information. Sure, it worked for Phil Mickelson in the commercial - - but it didn't work for me and I have lots of daily reminders of the damage. 
Rheumatoid Arthritis	CateP1, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	3	3	1	Female	45-54	5/18/2012 10:46:44 PM	After taking Enbrel for 6 mos., I developed M.S.  Would I have developed M.S. anyway?  Maybe, maybe not.  &quot;Rare neurological problems have been reported&quot; aren't so rare when one loses capacity to drive, see color, etc.
Rheumatoid Arthritis	Susan, 55-64 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	55-64	4/30/2012 12:39:29 AM	Nothing I tried orally worked for my R.A.Every time I exerted myself in anyway, I would pay dearly for it the next day.There is not a pain medicine strong enough to even phase the excruciating pain of the flair ups. 2 years ago I got on Embrel and over night I was pain free.That was one sever chronic pain I am so thankful for not having to deal with since. If I do over exert myself I can feel the symptoms of the swelling coming on. I take 1 prednizone and it's gone in the morning.Had 30 of them last 2 years,and had to toss some of them due to age.Only side effects I have had are some weight loss,and I needed to lose 20 lbs anyway :)I know it has some really scary side effects,but until something else kills me.This has let me return to a normal active life.It does disgust me that the price of this drug is so expensive. I was disabled in a car accident, and had to get on disability.And THAT is the only reason I am able to be on this medication. Can't even imagine having to deal with that pain again.Already in chronic pain from D.D.D. in my spine.
Other	ScaredSAN,  Female  on Treatment for 5 to less than 10 years (Patient) 	4	4	2	Female		2/17/2012 3:47:09 PM	Enbrel Injections Really helped My RA and Alkoysis Aspondilitis,But By Taking Since 2003, This Drug for Long Term. I Developed Lung Cancer in My Left Lung in 2005, I Had Lobectomy Done On Left Lower LOBE Removed; And Aggressive  ChemoTherapy Done In 2006. Now in 2011 I Have More Tumors on My Right Lung that is Cancereous and Milignant Also. I Rather Take Something Else for My RA And Pain in My Back And Spine. Pls Beware of These Enbrel Injections. 
Plaque Psoriasis	Marine1967, 55-64 Male  on Treatment for 1 to 6 months (Patient) 	1	4	2	Male	55-64	1/5/2012 10:15:59 PM	This drug worked great within the first three weeks of taking it.  Then, for some reason, it stopped working.  The plaque returned and i was miserable again.  Previous to this, I was on prednisone (worked great but can't take too much they say) Methyltrexate (WONDERFUL!!!) The side effects were pretty bad, nasuea / vomiting / chills, etc. but it cleared up the psoriasis wonderfully. They had to take me off it because it started damaging my liver however. Then there was Humira, another injectable that I was on for 9 months and never worked. I am hoping the Embril kicks in again.  It is easy to use, VERY expensive and I pray it works again.
Other	JZ, 19-24 Male  on Treatment for 1 to 6 months (Patient) 	5	5	5	Male	19-24	1/3/2012 9:35:23 PM	I take Enbrel for idiopathic joint inflammation which was giving me severe pain taht I took up to 8 large vicodin, steroids, prescription NSAIDS and even Zyrtec EVERY day. After taking Enbrel, I have no need for any other drug. I felt minor relief the day after my first injection. It has been about 1 month now and I am back at the gym [I did not leave my bed for almost a month prior]! In a way, Enbrel has saved my life.
Psoriasis associated with Arthritis	knowhair, 55-64 Male  on Treatment for 6 months to less than 1 year (Patient) 	3	3	3	Male	55-64	1/1/2012 5:13:23 PM	I started using Enbrel 6 months ago for my psoriatic arthritis. It worked great for my bad knees and plaque build up but I got more head and chest colds from it and developed a terrible cough that lasted 4 days. As soon as you get a sniffle STOP taking the injections. This is the 2nd time in the 6 month period that I got this bad head &amp; chest cold. As for me it took out my immune system and now I'm in a catch 22 situation. My ribs were so sore from all the coughing and the sleepless nights were awful.
Rheumatoid Arthritis	80%lungcapacity, 55-64 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	2	Male	55-64	12/26/2011 8:55:02 PM	The drug and injection were wonderful. I got immediate results.  However, after about two years, I developed lung cancer.  The cancer was actually located outside the lung and never permeated the lung and had the lower lobe of my right lung removed.  I firmly believe it was the action of this drug inhibiting/supressing my immune system.  My surgeon and other doctors immediately took me off the drug. 
Rheumatic Disease causing Pain &amp;amp; Stiffness in Backbone	azmuscle, 35-44 Male  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Male	35-44	11/30/2011 12:55:30 AM	I have been suffering half my life with degenerative disc disease and this past March I started to have severe joint pain to the point where every movement was excruciating,  stomach issues, lack of appetite, severe fatigue, weight loss of 30 lbs, etc. I was eventually diagnosed with Ankylosing Spondolitis and was prescribed Enbrel. Within two weeks Of taking injections my joint pain subsided and within three months my severe back pain( which I have lived with half my life) began to subside. Six months later and My back doesn't hurt anymore and I am feel the best I have in 19 years. Thanks to Enbrel I feel like I am finally living again.the worst side effect I have is hot flashes and an itchy leg the day of my injection which is a small price to pay to feel normal again!   
Psoriasis associated with Arthritis	marie, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	4	3	3	Female	45-54	11/20/2011 4:53:25 AM	i found it hard to inject myself first but after a while of doing it i found it ok
Rheumatoid Arthritis	pgro2000, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) 	4	5	5	Male	45-54	11/7/2011 2:24:05 PM	the only drug that has done anything except predisone, fluid drainage and cortisone shots. You can only take so much predisone and cortisone shots before causing more damage than help say the doctors. I think the shots are nothing compared to the pain of RA, hooray for Enbrel, hope the price starts dropping. Very expensive even with health insurance.
Rheumatoid Arthritis	adchisle, 19-24 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Female	19-24	11/2/2011 6:27:21 PM	I was diagnosed at 18 and am now 24.  I tried a lot of medications before Enbrel but stayed away from steriods.  Getting RA at such a young age made it hard to take medication that was effective and try to start my family.  My RA doctor, at the time, recommended I go off all RA medication while trying to get pregnant.  I did so and within 4 months I had severe bone damage to my hands.  I changed doctors, got back on methotrexate and then realized methotrexate wasn't enough.  My dr added Enbrel and it has been a miracle medication for me.  I stopped methotrexate and after 3 months tried to conceive and did so right away.  I've remained on Enbrel with caution from my RA doc and my OBGYN.  I'm now 8 months pregnant.  My first pregnancy off medication ended in miscarriage at 7 weeks.  I think it was because I was in SO much pain.  Since I've been on Enbrel I can truly enjoy life again.  It doesn't hurt to walk, go up and down stairs, I can get out of the bath tub with ease, I don't experience any morning stiffness... I really feel like a normal person again.  I make my husband give me the shots because I refuse to do them myself.  The shot hurts for about 15 seconds but it is SO worth it!  I highly recommend this medication!
Psoriasis associated with Arthritis	lou, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	4	3	1	Female	55-64	9/26/2011 10:59:13 AM	Have been on enbrel 2 months.  Started having trouble with sciatic nerve 3 weeks after starting.  Has progressively gotten worse.  doc says enbrel has nothing to do with sciatic nerve pain.  Anyone else has this issue?  I also wake up with a headache nearly every day...
Joint Inflammatory Disease in Children and Young Adults	Concerned Mom, 7-12 Female  on Treatment for 1 to 6 months (Caregiver) 	4	1	3	Female	7-12	9/19/2011 3:51:54 PM	Enbrel was prescribed for my 7 yr old daughter who has JRA or JIA. She was diagnosed about 6 months ago and has been on naproxen and methotrexate since diagnosis. Her inflammation counts were coming down, but not as much as the doctors wanted, so they added Enbrel twice a week. We don't know yet if the Enbrel is working or not since she never complained about the pain to begin with. We go back to the doctor in about 4 weeks, so we will know then for sure. The Enbrel is a pain to mix and administer. We have to mix it using the free-hand directions since we use each vial for 2 doses. My daughter is not happy about getting shots although she has gotten a little better about it. It still takes 2 people to give the shot to her. One person to hold her and one to administer the shot.Hoping she gets good results and can come off the meds quickly.
Rheumatoid Arthritis	peneless13, 35-44 Female  on Treatment for 1 to 6 months (Patient) 	1	5	1	Female	35-44	8/6/2011 7:33:55 AM	After 6 weeks of use I went numb from the waist down.  I was pulled off of it immediately.  It started bringing on symptoms of MS.
Psoriasis associated with Arthritis	promila, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	4	2	2	Female	45-54	5/31/2011 9:51:48 AM	I take enbrel 50ug once a week but develop induration,pain and redness at inj site that remains for two days. Duration of treatment has been 6 weeks,Past 2 days developed pedal oedema,is it due to injection? KFT ,LFT normal,no cardiac cause  then why this bilateral ankle edema?
Rheumatoid Arthritis	35-44 Female  on Treatment for 1 to 6 months (Patient) 	4	3	1	Female	35-44	5/30/2011 8:53:19 PM	I am a 44 YOF.  RA showed up when I was 17.  I have been on many meds, gold injections, methotrexate injections, ect.  Have been on Arava for last 10 years.  Added Enbrel in March.  Felt great after first injection, but then started having severe back and stomach pain.  Doc put me on Dexalant for stomach thinking it was an ulcer.  Pain kept getting worse.  Finally went to another doc. and found out I had pancreatis, stomach lining inflamation and gallbaldder inflamation.  Skipped my next Enbrel injection and everything got better with 2 days.  My blood levels are now coming back down.  Hopefully no permant damage.
Other	SuzyQ, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	4	4	4	Female	55-64	5/15/2011 5:18:08 PM	I have been taking Enbrel since 2002 when finally approved by ins co for PsA. It has been a miracle drug for me. Once tried the 50mg  shot and it was horrible so went back to 25mg 2x week. There is a difference in needle and PH for the premixed 50mg that makes it painful. It seems I may have reached the point that it no longer wks for me and am considering infusions. Tried Humira but was not as good as Enbrel. Also take MTX. I get a few URIs but the benefits have always outweighed the bad. 
Rheumatoid Arthritis	45-54 Female  on Treatment for 1 to 6 months (Patient) 	2	1	2	Female	45-54	5/13/2011 4:52:32 PM	Painful to inject, have to take it weekly instead of once a month like some other drugs.
Psoriasis associated with Arthritis	garydb173, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Male	45-54	5/4/2011 2:10:04 PM	I have had very positive results. My psoriasis is gone,my joints barely ache. It's almost like things were before. Feel like a young man again.
Rheumatoid Arthritis	Zeus, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	3	2	3	Female	45-54	4/29/2011 12:52:04 AM	This medication has helped with the swelling and stiffness caused by RA, but I have also experienced an increase in excema outbreaks. I was wondering if others experienced the same.
Rheumatoid Arthritis	oc survivor, 55-64 Female  on Treatment for 5 to less than 10 years (Patient) 	5	3	1	Female	55-64	4/22/2011 10:11:49 PM	I have ovarian cancer. My oncologist told me it started 7 years ago. Exactly the time I started Enbrel. I believe this medication caused my cancer.
Rheumatoid Arthritis	ugirl1234, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	5	4	5	Female	45-54	4/22/2011 2:21:11 PM	Enbrel has changed my life, the fatigue is much better, I can live more normally now, the pain is much better in the joints, ability to walk, was able to come off plaquinel, been on it one year now and what a difference. I used to get the welts on legs from shots but also use the abdomen and don't have that problem.
Rheumatoid Arthritis	frankm1225, 55-64 Male  on Treatment for 2 to less than 5 years (Caregiver) 	5	3	1	Male	55-64	4/16/2011 3:25:04 PM	My wife of 40 years began taking Enbrel about 8 years ago. It worked like a real miracle drug. But within 2 years, she developed vision problems, and a neurological condition known as demyelination of the neurons. The Neurologist told us the Enbrel was the cause. She stopped the Enbrel at that time, but some permanent brain damage was done. It stopped progressing when she stopped taking Enbrel. Last year she was diagnosed with several diffuse, Type B, large cell, non-hodgkins lymphomas, the very cancer that Enbrel warns about in the fine print. This responded well to chemotherapy (R-CHOP). However, the demeyelination suddenly accellerated during her treatment and she suffered long and died of the neurological side effect of Enbrel. Enbrel kills. Rember that and think it over before you use it. And it kills decades after it's use is begun.  
Rheumatoid Arthritis	Theresa, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Female	45-54	4/12/2011 3:56:15 AM	This drug has given me a new lease on life, virtually pain free, very few side effects, occasional thrush, found injecting into my leg caused welts and was sore on and off for a couple of days but changing the injection site to my stomach has resulted in a pain free injection site. I went from at stages not being able to hold a cup of coffee to now losing weight, being back at the gym being off all meds, (pain killers and anti inflams) except methotrexate and the Enbrel. I am now even jogging again, something that I only dreamt about. I hadn't done that for over 6 years. My energy levels are back again and I no longer experiencing the fatique.
Plaque Psoriasis	Brian, 45-54 Male  on Treatment for 1 to 6 months (Patient) 	5	4	4	Male	45-54	3/19/2011 10:38:35 PM	After 3 months of x2 week injections the severe plaque psoriasis that covered almost 1/3rd of my body was 99% cleared up. Went to x1 week injections. Side effects have been sinus irritation and slight fatigue.
Psoriasis associated with Arthritis	ROB, 55-64 Male  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Male	55-64	3/5/2011 2:53:04 PM	BEEN TAKING ENBREL ONCE A WEEK SINCE 2005-I AM 62 YEARS OLD I HAVE HAD PSORIATIC ARTHRITIS SINCE IN MY MID 20'S extremely SEVERE PAIN IN LOWER BACK, NECK  AND KNEES RETIRED EARLY DO TO, SUCH SEVERE PAIN.  TRIED ALL SORTS OF MEDS OVER THE YEARS ONLY ONE THAT WORKED WAS CELEBREX BUT AFTER A YEAR IT STOPPED WORKING. SOME MORNINGS MY WIFE WOULD HAVE TO LAY IN BED ON HER BACK AND LITTERLY PUT HER FEET ON MY BACK TO PUSH ME UP SO I COULD GET OUT OF BED and then put my work boots on and tie them for me.,ALSO I ALMOST GOT IN A FEW CAR ACCIDENTS AS IT WAS HARD TO TURN MY NECK TO SEE OTHER VEHICLES. THEN I TRIED ENBREL FELT LIKE GOD TAPPED ME ON THE SHOULDER AND SAID YOUR HEALED. THIS DRUG IS SO FANTASTIC THAT I TOLD MY DOCTOR THAT IF I HAD A CHOICE OF LIVING 10 YEARS THE WAY I FEEL NOW OR 30 YEARS FEELING LIKE I DID BEFORE I'D TAKE THE 10. THE SURE CLICK INJECTOR IS A LITTLE PAINFUL BUT I TELL MY WIFE NO PAIN NO GAIN. SKIN MADE A LOT OF INPROVEMENT BUT NOT TOTALLY. THIS DRUG HAS BEEN A TOTAL BLESSING. ONLY WISH IT WOULD COME DOWN IN PRICE. OVER $349.00 PLUS PER SHOT.  ALTHOUGH IN 2012 GENERIC ONES CAN BE MADE HOPE THAT BRINGS PRICE DOWN. 
Rheumatoid Arthritis	sarat, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	4	3	5	Female	45-54	3/4/2011 1:34:55 PM	so far this drug has been brilliant. i noticed a difference after the first jab. its relatively easy to use (epipen) but stings quite a bit but only for a few seconds. Im hoping it continues to work and i don't catch anything with my immune system being knocked out.  I'd rather take the risk than have the pain and terrible fatigue of RA. Hope this helps anyone in their decision whether to take Embrel or not.
Rheumatoid Arthritis	35-44 Female  on Treatment for 1 to 6 months (Patient) 	1	4	1	Female	35-44	2/18/2011 7:44:18 PM	I took it for 6 weeks and went numb from the waist down.  It brought on systems of ms.  I'm not allowed to take any biologics.  It's to dangerous for me.
