High Blood Pressure	55-64 Male  on Treatment for less than 1 month (Patient) 	4	4	3	Male	55-64	8/21/2012 11:55:35 AM	
High Blood Pressure	55-64 Female  on Treatment for 1 to less than 2 years (Patient) 	5	3	5	Female	55-64	8/14/2012 11:04:04 PM	
High Blood Pressure	35-44 Male  on Treatment for 2 to less than 5 years (Patient) 	5	2	5	Male	35-44	8/12/2012 10:31:36 PM	If they could only do something with the blister packs. They raise your bp just to get the pill outFinally a b.p. drug without the hacking cough associated with Lisinopril and other generic ace drugs. I have not had any of the side effects mentioned in alot of these reviews. My doctor and I are quite satisfied with the resulting lowered bp.  
High Blood Pressure	55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	1	1	Female	55-64	8/3/2012 8:46:41 AM	I was put on this drug before minor surgery, I suffered 6mos. of diarrhea, my Dr. thought it was from the hospital stay, after 6mos. my face swelled up, all are possible side effects which stopped after the drug was stopped. The bowl problem continues because of the of loss of muscle tone.  
High Blood Pressure	55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	4	5	1	Female	55-64	7/31/2012 8:00:16 PM	This drug worked well in lowering and controlling my high blood pressure.  However, it caused my hair to thin and fall out terribly. I had to stop taking it for that reason.
High Blood Pressure	Alfred, 75 or over Male  on Treatment for 10 years or more (Patient) 	5	5	5	Male		6/28/2012 3:12:41 AM	Long time user effective no side effects
High Blood Pressure	JMS, 35-44 Male  on Treatment for 1 to 6 months (Patient) 	3	4	2	Male	35-44	6/26/2012 3:30:32 PM	First of all, this medication causes me to lose all my energy at top of lower back pains, and what's worst and it might sound gross but since I was started on it about a month ago, It has increased my stools from once(1) every day to numerous(5-7) times per day. Secondly, I don't know about every where else but here in Texas, it is above $100 for a thirty(30) day supply which for me is a little too steep in price.
High Blood Pressure	65-74 Male  on Treatment for 5 to less than 10 years (Patient) 	5	5	4	Male	65-74	6/25/2012 1:36:32 PM	Expensive but works for me. Just doctor to take me off because of cost; no generic.
High Blood Pressure	KIZZIEl, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	4	4	1	Female	65-74	6/9/2012 6:30:17 AM	SEVERE TIREDNESS  RAISED POTASSIUM LEVEL ENERGY GONE AM GOING TO STOP DRUG I WANT TO FEEL NORMAL AGAIN MUSCLE ACHES UNREAL
Other	seammc, 65-74 Male  on Treatment for 2 to less than 5 years (Patient) 	4	4	3	Male	65-74	4/29/2012 5:07:55 PM	Be carefull of alpha lipoic acid it makes telmisartin more powerfull ...dont take more than 50 mg of ala (25 mg is better)I have cut my of Micadis from 40 mg to 20 mg..and it works better than ever
High Blood Pressure	Dee, 55-64 Female  on Treatment for less than 1 month (Patient) 	2	2	1	Female	55-64	3/28/2012 8:15:03 PM	Too expensive and many side effects.  Lower Back pain, stomach pain, lightheadedness.
