Chronic Pain	tonicar, 55-64 on Treatment for less than 1 month (Patient) 	1	2	1		55-64	9/24/2012 12:29:22 AM	Almost immediately after the Prialt was put in my pain pump I began experiencing extreme urinary retention, constipation, instability, drowsiness, trouble talking coherently and absolutely no relief from the pain. I'm getting it out of my pump at the first opportunity.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Chronic Pain	Sabrena71, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	1	1	Female	35-44	9/11/2012 3:47:29 PM	I had Prialt put in a pump after years of serve chronic nerve pain (ripped my nerves loose from my spinal cord that go to my L arm &amp; neck plus crushed my shoulder after a I fell through a steel catwalk @ work 17 yrs ago)the side effects of this medicine is AWFUL to this day memory loss &amp; the lose of my teeth is so serve &amp; my pump has been out for over 2 yrs.
Chronic Pain	25-34 Female  on Treatment for 1 to 6 months (Patient) 	1	1	1	Female	25-34	8/15/2012 5:15:18 PM	I had my pump implanted 6 weeks ago and so far am only able to tolerate 1.2 mcg. I had every side effect listed including the sensation that my skin is burning, electric shock sensations, memory loss, and an overall increase in my pain. This is by far, the worst medication I have ever used. My doctor is putting me on IT morphine and I can't wait! This medication has been awful. I had to go in 3 times to have the dosage lowered. I wish that it would have worked for me as I am tired of the narcotics but I'm only 25 so I can't afford to have side effects like this. 
Chronic Pain	Sabrena71, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	1	1	Female	35-44	6/8/2012 11:30:22 PM	I have major nerve pain where I fell through a steel catwalk @ work 16 yrs ago. I ripped the nerves loose from my spinal cord that goes to my neck &amp; Left shoulder plus I crushed my shoulder,have had 6 shoulder surgeries.I had the Prialt put in a pump &amp; it was in for about 7 mnths. I had so many side effects &amp; still having them so serve that I have what I call mind lapes where I can be talking to my kids or husband &amp; all of the sudden I will say something out of the blue &amp; my mind shuts down &amp; i go to sleep for just a second &amp; pop back up &amp; can remember everything I do up I go out for a that sec. And all the enamel is coming completly off my teeth &amp; they hurt 24/7 &amp; I have already lost 3 teeth &amp; the enamel has seperated from my gums on about 20 teeth.I am 40 yrs old &amp; it is sooo unfair for my family has to go through this.If any1 else is having problems due to the Prialt feel free to email me at....delljr_8@yahoo.com...if you just want to talk to me it helps me to talk to others that are in chronic pain no 1 knows what its like to go through this unless you are going through it.We have got to fight to get this Prialt of the market..They say the side effects get better but mine are getting worse &amp; worse &amp; my pump has been out for almost 3 years. and still having different side affects .But I try to keep my head up &amp; pray for something out there that will help us all....God Bless To All.....
Chronic Pain	retired officer, 45-54 Male  on Treatment for less than 1 month (Patient) 	3	3	1	Male	45-54	3/7/2012 9:56:56 PM	I was given Prialt as a trial for a pain pump. I had 3 injections trying to prove effectivenes prior to getting a pain pump. First dose was nothing. Dr doubled dose for second injection. I had some delayed side effects (nausia, dizziness, confusion)but I did not get the pain relief the Dr wanted. HHe increased the dose again for the 3rd injection. This time I had very severe reactions with 7 hours of the injection. I was taken to the ER and treated as if I was allergic to the med. I was vomiting, having hot and cold flashes, I was so dizzy that I could not stand. I had a severe sensation of burning shin and eventually I had breathing problems. Needless to say, I will not take Prialt again. by 30 hours after the 3rd injection, I was back to normal, but without back pain for the first tim in 6 1/2 years. 
Chronic Pain	kylee,  Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	3	Female		10/16/2011 4:24:24 AM	Wonderful coverage of pain.  Appears i may be allergic to it as when i give myself a boost, i end up itchy the rest of the night.
Chronic Pain with Narcotic Drug Tolerance	triger, 45-54 Male  on Treatment for 1 to less than 2 years (Patient) 	5	4	4	Male	45-54	9/26/2011 7:09:01 AM	I have had 26 muscoskelatal surgeries with 12 on back in last 8 years.  also have avascualr osteocronosis.  I was so sick of having to take duragesic 200McG's every 48 hours, 240 30 mg Roxicodone a month, 3-4 Actiq a day at 800McG's just to walk without extreme pain. I was out of it 24/7 but could not use morphine pump as would need over safe dose.  When prialt came out and protocal was also severe chronc pain, my Dr. who is diretor of hospitals Advanced pain Medicine for 3rd ranked hospital in US, said he could use hydromorphone which by itself does not travel farenough up spine, I was elated.  Yes I lost 50lb's and yes some phycosis at 1st and memory loss but at 9mg's daily f dilaudid and 2.25McG's of prialt, i now take only 180 roxi 30mg's a month and have pump and get better relief besides obvious not drugged up.  it to me is a miracle drug and people nee to weigh symptoms before judging as I know some people have underlying problems which I can see would worsen but if pain is severe enough or you do not have severe enough pain which only you know, then maybe is not for you.i do believe is pain drug of future when can be given safely in pill form.
Chronic Pain	liam, 25-34 Male  on Treatment for 1 to 6 months (Patient) 	1	1	1	Male	25-34	8/29/2011 11:06:53 AM	I wish there was zero stars! I'm worried this medication might have ruined my memory for life, as well as my weight. I was given this for chronic nerve pain &amp; it actually worked ok for the 6 months I was on it. The doc told me the only side effects people might have is a little memory loss. I developed major memory loss, a major psychotic breakdown &amp; loss 45lbs in 3 months. I have been off of it for a yr now and my memory is still very bad (I'm only 33) I also can't gain a pound back &amp; have been eating 3600 calorie's a day for several months now &amp; haven't gained a pound. I'm only 5 lbs over my recommended weight. I'm hoping this is not permanent and hate that synthetic venom! CALL the FDA for side effects. Get this stuff off the market. 
Chronic Pain	chronicpaingrl, 35-44 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	35-44	7/30/2011 7:29:36 AM	I have not tried this BUT PLEASE report these side effects to the FDA at 1-800-FDA-1088.  Unless you do this nothing will be done with this drug, nothing will get done just by posting on here but helping others, you want it off the market, tell the FDA!!!!!!
Chronic Pain	Catty1, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	4	5	4	Female	45-54	6/3/2011 2:13:30 AM	I've been on Prialt for about 4 years.  I too heard music-really twangy country at first.  It's almost gone now and sometimes I miss it.  Drove me nuts at first. I talk faster than I use to, but my memory is getting better.  I don't know if others do this, but I've noticed I talk to myself a lot and I constantly am singing to myself as well.  Has anybody had this effect from this snail spit?
