Pain	55-64 Male  on Treatment for 6 months to less than 1 year (Patient) 	1	1	1	Male	55-64	9/6/2012 3:52:23 PM	
Pain	55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	2	4	1	Female	55-64	9/2/2012 10:25:04 AM	Tried this drug for arthritic hip pain prior to hip replacement surgery. Yuck, felt sleepy, foggy and didn't help the pain.
Pain	55-64 Female  on Treatment for less than 1 month (Patient) 	2	4	3	Female	55-64	8/29/2012 5:03:47 PM	I try to stay away from using this medication. It does relieve my post surgery pain but I experience a pressure and buzzing/ringing in my ears. I have great blood pressure, am a 64 year old female but have always had these side effects....anyone relate?  Jo-Ann
Pain	cheryllynnkirkley, 55-64 Female  on Treatment for 1 to 6 months (Caregiver) 	4	4	4	Female	55-64	8/10/2012 5:19:42 AM	i took this medication after i broke my left knee, patella, it did work well, without any problems with nausea/vomiting.
Pain	none, 35-44 Female  on Treatment for 1 to less than 2 years (Patient) 	3	3	4	Female	35-44	8/9/2012 1:13:15 AM	it helps the pain some times some times it does not
Pain	65-74 Female  on Treatment for 5 to less than 10 years (Patient) 	4	4	4	Female	65-74	8/5/2012 12:35:47 PM	have had chronic back pain for over 8years i use it for breakthrough pain. have been on fentanyl 50 patch also i can not take naisds
Pain	65-74 Female  on Treatment for 2 to less than 5 years (Patient) 	4	4	3	Female	65-74	8/3/2012 7:49:14 PM	Cronic pain from arthritis and back issues. Works to take the edge off but not long lasting.
Pain	PetraFaz, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	2	2	2	Female	25-34	8/1/2012 3:04:26 AM	I felt that it worked at first but now it doesnt really anymore I dont know if its cause my pain is worse or I am immuned to it.
Pain	danar, 75 or over Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female		7/23/2012 8:18:43 PM	I was given vicodin for pain after I had my knees replaced.  I saw ants on the ceiling, smoke coming out of the vents, etc.  NEVER will I take this again.
Pain	amaclach, 75 or over Male  (Patient) 	5	5	5	Male		7/17/2012 11:33:04 AM	Vicodin suppresses the nerve discomfort I have in my legs.  It is very effective even after 5 yrs.  I take 3-4/day of 5/500.  I am little concerned about the Tylenol and the fact I have lost the hair on my arms.  I attribute the latter to the hydrocodone.
Pain	nmea84, 55-64 Male  on Treatment for 2 to less than 5 years (Patient) 	3	5	2	Male	55-64	6/25/2012 9:52:28 AM	temporary relief
Pain	...., 19-24 Male  on Treatment for less than 1 month (Patient) 	3	5	3	Male	19-24	6/24/2012 11:47:53 AM	I take Vicodin for pain in an unpleasant area. When I first took it the I felt no pain for two days, but then the pain came back randomly. It would even come when I just took the Vicodin an hour ago. Maybe I need a higher dose. It works most of the time, but I'll still get pain at least once or twice in the day. 
Pain	65-74 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	65-74	6/21/2012 7:23:31 PM	No problems at all
Pain	35-44 Female  on Treatment for 1 to less than 2 years (Patient) 	2	5	5	Female	35-44	6/18/2012 5:20:35 PM	
Pain		4	4	4			6/13/2012 10:52:32 AM	good
Pain	jean, 55-64 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	4	Female	55-64	6/6/2012 7:43:54 AM	if I don't have this med . I can't move with having joint pain . I have high intake of pain til it is pain a lot of people would be howl with the pain or running to the hospital about the bad pain I have . It is hard to get out of bed in mornings til I take this med.... 
Pain	45-54 Female  on Treatment for 5 to less than 10 years (Patient) 	4	4	4	Female	45-54	6/5/2012 9:49:27 PM	
Pain	sweetheart, 35-44 Female  on Treatment for 10 years or more (Patient) 	2	3	1	Female	35-44	6/5/2012 2:23:21 PM	i have been on it for 18 years and there is no changes in my pain itis the same pain all day long i hope there is something diffrent i can take to relife this pain i go for a long walks and iam back in more pain then i started with in the frist place and i have a lot of stiffes in my hands and foots and my knees i just hate been in pain all the time and some i get upset i hope ther is some kind ofpain pill that will help better then the one pill iam on know
Pain	mary, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) 	3	4	3	Female	45-54	6/3/2012 5:29:32 PM	
Pain	Vicodin 10/500, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) 	2	5	2	Female	45-54	5/29/2012 7:48:49 PM	I have ovarian cancer and have much pain in my neck, back, and legs.....I take 2 in the afternoon and two before bed.  It still is not enough.
Pain	dconley902, 35-44 Female  on Treatment for less than 1 month (Patient) 	4	5	4	Female	35-44	5/12/2012 8:57:56 AM	
Pain	35-44 Female  on Treatment for less than 1 month (Patient) 	2	2	3	Female	35-44	5/2/2012 5:02:59 AM	
Pain	zeeman, 45-54 on Treatment for 2 to less than 5 years (Patient) 	5	5	5		45-54	4/29/2012 10:59:01 AM	ihave overall pain since a stroke along with joint pain and this takes the pain away and lets me sleep i only take 2 pills at bedtime and it works great
Pain	55-64 Male  on Treatment for 1 to 6 months (Patient) 	4	5	4	Male	55-64	4/23/2012 4:24:55 PM	I think every drug should be sold over the counter and I'm talking about all of it. Then it would get rid of people that abuse it because they would od on it. The folks that really need it could get it without having to go through a battery of expensive tests to tell them what they already know. Most doctors won't write a scrip for it for fear of our nanny government. Just my 2 cents.
Pain	boney, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Female	65-74	4/17/2012 6:17:04 PM	
Pain	maggie, 65-74 Female  on Treatment for 1 to less than 2 years (Patient) 	4	4	4	Female	65-74	4/13/2012 4:51:45 PM	
Pain	beaver999, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Male	45-54	4/12/2012 4:44:56 AM	I have been taking Generic Vicodin for 2 years now for Chronic Widespread pain and it has done wonders for the pain!
Pain	SB, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	4	4	4	Female	45-54	4/6/2012 10:58:53 PM	
Pain	riff, 75 or over Female 	1	1	1	Female		4/5/2012 10:22:24 AM	My mother, 85 years old, is taking 6 vicdin a day for her pain. she is having trouble with swallowing and have pain in her side and chest area. also have horrible pain in her legs. the doctors are very poor. what can we do to help her?
Pain	55-64 Female  on Treatment for 2 to less than 5 years (Patient) 	3	4	3	Female	55-64	4/4/2012 1:23:41 PM	
Pain	duck3mn, 75 or over Male  on Treatment for less than 1 month (Patient) 	1	1	1	Male		4/3/2012 8:52:57 PM	After a cystoscopy and urethral dilation, I was given Vicodin for pain. That evening, I threw up violently, as I do with most codeine and related meds.
Pain	heneri007, 55-64 on Treatment for 2 to less than 5 years (Patient) 	3	3	3		55-64	4/3/2012 8:05:04 PM	it helps me with soreness in back and knees so I can workout on a regular basis
Pain	VWOTT, 75 or over Male  on Treatment for less than 1 month (Patient) 	3	2	3	Male		3/30/2012 11:53:15 PM	
Pain	Mrs7707, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	5	4	1	Female	25-34	3/28/2012 4:18:03 AM	I WAS PERSCRIBED VICODIN FOR PAIN AFTER I HAD A CESAREAN SECTION. AT FIRST, IT HELPED RELIEVE THE PAIN FROM THE PROCEDURE, BUT I WAS SO 'OUT OF IT' THAT I COULDNT FEED MY TWINS. IT ISNT A BAD DRUG AT ALL, I JUST WOULDNT RECOMMEND IT TO A WOMAN WHO HAS JUST GIVEN BIRTH.
Pain	65-74 Male  on Treatment for 1 to 6 months (Patient) 	5	5	5	Male	65-74	3/20/2012 4:08:17 PM	This pain aide helps tremendously.I am very satisfied with it's tendency to relieve my pain from arthritis and siatic pain.
Pain	ES, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Male	45-54	3/14/2012 10:05:13 AM	osteoarthritis
Pain	55-64 Male  on Treatment for 5 to less than 10 years (Patient) 	4	5	5	Male	55-64	3/14/2012 8:03:15 AM	
Pain	survivor80, 25-34 Female  on Treatment for 2 to less than 5 years (Patient) 	5	4	5	Female	25-34	3/13/2012 8:54:03 PM	I take Vicodin for FMS and a slipped disc in my lower back.  It is extremely effective for chronic pain and helps tremendously with the pain in my lower back from the slipped disc.  For around 2 years I took Vicodin 5/500 and just recently had my dose increased to Vicodin ES.  Much more effective.
Pain	Tri-Pod, 35-44 Male  on Treatment for 2 to less than 5 years (Patient) 	3	3	3	Male	35-44	3/9/2012 10:18:04 AM	i was involved in 2 car crashes a couple years back.  I had double knee surgery  a few years later.  It only lasted a few months and then my problems started coming back.  After another year and a half the pain became miserable.  I hated my life and hated getting up in the morning until I hated getting up the next morning.  The pain was destroying my life.  Without any medical insurance I was SOL. So... I started using heroine.  I used it in very small doses because I didn't really like the way it made me feel, except for the mild relief (due to mild quantity use) of pain.  This went on for 2 yrs.  Finally I was/am able to get medical insurance that accepts per-existing conditions. Then I stopped heroin (ya, that was 5 days of major yuck!)use.  The doctor was such a blessing.  She put me on vicodin (thankfully because I never let heroin get out of control the vicodin still works) for a month then I asked for an increase.  The pill only lasts for about 4 hours and taking one every 8 hours is a bit of a roller coaster.  I'm so thankful for this drug.  Of coarse if doctors were not so stingy and afraid of the gov't I never would have had to take heroin in the beginning.  Oh well, that's the past.  Now I take 5-6 norcos a day along with a Butrans patch.  As my L4 and L5 is about completely deteriorated, my sacrum is torn (still under investigation) and my knees are blown out again I am thankful for Vicodin.  Side effects for my opiate use of 2 1/2 yrs. include: mild constipation, loss of hair on my legs.  Long term side effects unknown.  I hope i never find out.  I want fixed!!!!!
Pain		4	5	5			3/8/2012 5:11:56 PM	
Pain	dltr64, 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) 	4	5	3	Female	45-54	3/5/2012 6:54:53 PM	This medication works for pain.  The worse side effect is constipation. 
Pain	cookie05, 45-54 Female  on Treatment for 10 years or more (Patient) 	4	4	4	Female	45-54	3/3/2012 12:36:02 PM	this pain med. has taken the edge of my crhonic pain away.
Pain	murraysch, 75 or over Male  on Treatment for 5 to less than 10 years (Patient) 	2	4	2	Male		3/2/2012 8:38:46 AM	
Pain	25-34 Female  on Treatment for less than 1 month (Patient) 	3	4	3	Female	25-34	3/1/2012 7:46:37 PM	
Pain	windspirit, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	3	5	4	Female	45-54	2/28/2012 6:11:50 AM	I have cronic pain.  But I am having a hard time with my memory, and was wondering if this was why.
Pain		5	3	5			2/26/2012 4:47:24 PM	
Other	norco4, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	1	2	2	Female	25-34	2/23/2012 1:21:14 AM	
Pain	Fonzi, 25-34 Male  on Treatment for less than 1 month (Patient) 	3	3	1	Male	25-34	2/22/2012 9:19:13 AM	This medication was really  uncomfortable. Its increased my heart rate and high blood pressure.. couldnt sleep the whole night... But plus was I was not in pain.
