Prevention of Shingles	braumy, 65-74 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	65-74	9/9/2012 10:15:16 PM	I had shingles 4 years ago lasting about a month.  I recieved the vaccine three weeks to prevent any recurrence, the shot was not painful, had some redness and soreness at the site for 3 days, no problems after that.
Prevention of Shingles	splash2, 65-74 Female  on Treatment for less than 1 month (Patient) 	2	4	1	Female	65-74	5/22/2012 10:58:35 PM	Got the Zostavax today. Within 5 min of getting it,felt weird,like a &quot;rush&quot;. Then my head felt pressure,hard to discribe. I have controlled high BP but since I had the shot at a Pharmacy, I took my BP there and it was 179/95 p.82. This is very high for me. I am allergic to ACE inhibitors, aspirin and tetracylines and told nurse who screened me of this. Had also seen my primary Dr. in the am and he didn't warn me of any such side effects.As I waited after the shot, BP fell to 155/80. I went home to lie down and took a BP med. After 40 min. pressure went down again. But still felt weird and spacey. After reading all the bad reactions here AFTER I had the vaccine, I wish I hadn't taken it. Who knows what the future will bring? I felt super before taking it but now,really &quot;out of it&quot;. If it gets worst, I will call Dr . Looks like I may be in in for the ride of my life! Merck may be experimenting with Srs. to perfect this Vax. Certainly we will be collateral damage.
Prevention of Shingles	Me, 65-74 Male  (Patient) 	1	5	1	Male	65-74	3/26/2012 9:08:30 PM	At annual physical, Family Dr. recommended shingles vaccine... Never had chicken pox...$45.00 copay. On 1/123/12, the injection was painless at my pharmacy- no sores... Two weeks later joint pain started &amp; remains today is 3/26/12... Pharmacist talked to Merck. they said it is not related. My advice to prospective users is to google www.merck.com It tells you joint pain is a side effect. So does fda.gov...I would take not take it again, if I had it to do over....[time will not tell because I have no record of chicken pox...
Prevention of Shingles	hogfan235, 55-64 Male  on Treatment for less than 1 month (Patient) 	4	2	4	Male	55-64	2/26/2012 9:15:32 AM	I am 59 years old and multiple family members had Shingles. I received my vaccination on Wednesday afternoon and noticed itching on my right leg on Saturday morning. Saturday afternoon I concluded that I had Shingles due to the red rash, itching and swelling at multiple locations on my right leg. I had an intense work out on Thursday might which may have lowered my resistance but there was no recommendation from the doctor to take it easy. I conclude this must be a mild case because there is no severe pain that my family members reported. My rating is based on my estimation that I would have gotten a much worse case of Shingles without the vaccine. My symptoms are similar to poison ivy. 
Prevention of Shingles	Hurting and Worried, 55-64 Male  on Treatment for less than 1 month (Patient) 	1	1	1	Male	55-64	1/1/2012 8:11:37 PM	I had the Zostavax injection on 12/21/11. That night severe itching started at the site of the shot on my right upper arm and all around it.  Benedryl cream  helped but did not stop the itching and I was not able to return to sleep that night. The next day I noticed the development of an oval rash just below the injection site, about 3&quot;x2&quot;, and very itchy. Over the next several days below that site I also developed a scalelikeskin condition, also very itchy.  This itchy rash and scaling persisted as it was for almost a week causing much discomfort and lack of regular sleep before it began to rapidly fade along with the itching.  However tonight I have developed stabbing intermittent SEVEREburning pain on the lower part of my right  arm, just below the skin, pain that staggers me when it hits and leaves a burning and numbing sensation after fading.  It comes and goes, seemingly at random. I just consulted our medical guide and this pain is almost exactly as the beginning pain of shingles is described.  I am now afraid this injection may have given me the very illness I took it to prevent.Based upon my continuing experiences I would STRONGLY recommend anyone contemplating injection with this vaccine NOT to do so.    
Other	tonseth, 65-74 Female  on Treatment for 2 to less than 5 years (Patient) 	2	5	1	Female	65-74	12/15/2011 3:37:40 PM	It worked for me for awhile, but now I have more frequent episodes and the pain is getting worse. I will go back to taking L-Lysine 5000 mg per day.
Prevention of Shingles	JustDoingWhat'sBest, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	3	Female	45-54	8/27/2011 2:08:08 PM	More that a few people have shared their stories of having shingles, so I didn't want to end up like them in my senior years and I went out and was vaccinated.  Prior to the vaccine, I had a complete STD workup done and my STD workup came back negative to EVERYTHING.  I am starting a new relationship now and my partner and I are having STD blood workup done before we go further.  Well, my Herpes results came back positive for Type I and II, all other results were negative.   I can ONLY think that the antibodies from this vaccine are giving the reading as a positive to the Herpes Virus as I have absolutely No other signs of this virus or have even been recently kissed by any frogs.
Prevention of Shingles	marggor, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	4	3	3	Female	65-74	8/10/2011 2:08:21 PM	Some post injection side effects that were incomfortable
Prevention of Shingles	walkorbike, 65-74 Female  on Treatment for 1 to 6 months (Patient) 	3	3	3	Female	65-74	7/15/2011 6:56:25 PM	I had the shot in early June, with no discomfort or other side effects right away.  However, two days later I developed a cold sore on my upper lip.  Now five weeks later I have another one on the other side of my upper lip.  This is not something I normally suffer, so I feel sure it is caused by the Zostavax.
Other	solson45, 65-74 Female  (Patient) 	1	1	1	Female	65-74	6/20/2011 12:59:47 PM	Hey, My Dr. advised me to have this treatment.  I've been exposed to Chicken Pox several times, even as an adult, and to my knowledge, haven't had the virus. After reading all responses to this blog, I am going to refuse, and take my chances. The reactions seem too painful to take a chance. I'm a type II diabetic and have enough pancreatic problems without adding this to my troubles. Good luck!
