Other	bo , 35-44 Male  on Treatment for 1 to 6 months (Patient) 	5	5	4	Male	35-44	9/30/2012 10:39:10 AM	i have been taking this drug at 200 mg a month i have noticed a pesonality change in myself i find that i don't have a problem with confoetations any more i like the change in my personality  also with the boost i libido and energy .
Deficient Activity of the Testis	stiff richard, 35-44 Male  on Treatment for 1 to less than 2 years (Patient) 	4	5	5	Male	35-44	9/21/2012 11:34:07 AM	Started taking testosterone at 1ml twice a month, levels still low so dose was doubled. I can't prove that it is the cause of my weight loss of 70 lbs but my muscle mass has definately improved, tummy is much flatter and shoulders, legs and arms looks like it did 15 years ago. libido has also increased. I use a 20 guage needle to draw out of bottle and a 25 guage to inject in thigh, no pain at all. Moodiness has diminished greatly and I feel &quot;more like a man&quot; than I have in years.
Other	lostdog, 45-54 Male  on Treatment for 1 to less than 2 years (Patient) 	5	3	5	Male	45-54	9/16/2012 2:06:46 PM	
Other	25-34 Male  on Treatment for 2 to less than 5 years (Patient) 	4	5	3	Male	25-34	8/28/2012 5:38:00 AM	Once you learn how to inject your glutes it's not so difficult as it may seem to get used to having TO STICK A 16-GUAGE needle in your buttocks.I started at 200mg every 14 days, but my levels were still below normal so my dr. upped the dose to 200mg every week. The morning &quot;pick up&quot; goes away quickly, and soon enough you just feel normal and less depressed or unsure of yourself than you once did. 
Other	scott , 55-64 Male  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Male	55-64	8/17/2012 10:22:22 AM	depression and no energery 
Other	45-54 Male  on Treatment for 1 to less than 2 years (Patient) 	5	3	5	Male	45-54	7/28/2012 8:42:11 AM	My t level was at 080 having severe dehydration problems,dry joints,kidney stones,felt horrible,and started having heart issues.started taking cypionate 1cc a week,all dehydration problems stopped life is worth living again very thankful for this medication.Who would have thought low t could cause so much pain and trouble. Our bodies are like a machine one thing is out of wak and it creates all kinds of hell. good luck hope this helps somebody else!
Other	aggravate, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) 	1	4	1	Male	45-54	7/21/2012 12:18:48 AM	after havin prostate surgery, ive been on  med for  7 mo. 1cc/wk. no  changes, no  muscle mass, no  sex drive,  no  energy   not  sure if need to  give  it  more  time  and  let  nerves  heal  from  surgery   hope  thats  the  prob  and  will  see  changes  soon   my  level  is  1700 so  its  raisin it  up  dramatically  but  thats  it. 
Deficiency of Luteinizing Hormone-Releasing Hormone	Mikey G, 35-44 Male  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Male	35-44	7/15/2012 9:32:50 AM	What a change in my life! I went for two years wondering where my sex drive had gone, working out 3 hours of cardio and 3 hours of weight lifting a week loosing not an ounce of body fat on a 2000 calorie low carb low fat diet, suffered planar fascietus, carple tunnel syndrome and stiff joints, and severe moodiness.Within 3 weeks of my weekly injections of 100 mg weekly, all symptons were reversed except the body fat. I went from 18% body fat down to 12% over the following three months with the same workout routine I had been using to no evail prior to testosterone Cypionate replacement.This is a cure, not a treatment. Swear by it, changed my life for the better. Will use for the rest of my life. The only side effect is occassional unwanted erections.
Other	timskee, 45-54 Male  on Treatment for 1 to less than 2 years (Patient) 	1	5	1	Male	45-54	6/14/2012 12:30:34 AM	No energy no libido no erections huge weight gain.  Dr. only inj. 1 time per mo.  numbers were below 200 to start, still below 200 after 18 months  I am going to ask Dr. for weekly inj.  Hope to have better numbers soon  
Deficient Activity of the Testis	Can, 55-64 Male  on Treatment for 1 to less than 2 years (Patient) 	5	4	4	Male	55-64	2/19/2012 7:18:14 PM	
Deficient Activity of the Testis	Healthy50s, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) 	5	4	5	Male	45-54	12/26/2011 6:25:46 AM	I am a 54 year old male diagnosed with low T. My T level was at 188. I was tired. weak and generally feeling run down. My doctor noticed the low levels and we worked through three months of injections starting at 1 cc/two weeks. I am now at 1.2cc each week, my wife gives me my weekly injections.Eight months into the program my T level is at 865. My fatigue symptoms are nonexistent. After starting a weight program I have gained 14 lbs of lean muscle. I look (according to others) and feel great. My love life has improved dramatically, and my wife thanks me, often.Coupled with a vegetarian life style, sensible exercise, and sufficient protein intake, I am at peak fitness and health. My suggestion- find a doctor willing to work with you to promote well being and get those levels checked, you will be glad you did!
Deficiency of Luteinizing Hormone-Releasing Hormone	35-44 Male  on Treatment for 1 to 6 months (Patient) 	5	5	5	Male	35-44	11/29/2011 1:58:42 AM	I have a lot of sweating at night is this normal?
Other	none, 35-44 Male  on Treatment for 1 to 6 months (Patient) 	5	5	5	Male	35-44	8/19/2011 6:41:04 AM	I take allot of prescribed medications. I began noticing that I had no energy was tired all the time and in general not very motivated to do much. After tested my testosterone levels were around 205. I began taking this medication by injection and within weeks noticed a HUGE difference in how I felt and functioned during the day. So far so good.
Other	Travis, 45-54 Male  on Treatment for 1 to 6 months (Patient) 	5	3	5	Male	45-54	7/25/2011 1:51:32 AM	I was all but bedfast, no energy, always in cronic pain, no erections, eat all the time,depressed,and no desire to do anything. after two weeks I was out of bed, after three months now I have lost 40lbs,I feel great, I don't have to make myself get up I am always ready to get up and get busy. It has changed my life.
Deficient Activity of the Testis	Healthy50s, 45-54 Male  on Treatment for 1 to 6 months (Patient) 	5	3	5	Male	45-54	6/21/2011 5:53:18 AM	I was diagnosed with low testosterone levels (188) and tried saw palmeto. It didn't work. Started testosterone cypionate injections every 2 weeks (200mg)finally readjusted to 200mg every week. Levels are back up. Sex drive is back (awesome) and have a renewed energetic feeling. The 21 gauge needle leaves me sore for a day or two but when I changed to 23 gauge there is no pain. My wife does the injections weekly and blood tests are done once every 8 weeks. I am very happy with the results. As a added bonus, along with strength training, I have added 10lbs of muscle and look as good as I feel.
Deficient Activity of the Testis	45-54 Female  on Treatment for 1 to 6 months (Patient) 	5	3	5	Female	45-54	6/17/2011 5:22:52 AM	Due to low testosterone levels (188)I began my therapy with a 1 ml (200mg)once every two weeks. This was increased to 1 1/2 ml every two weeks and then to my current level of 1 ml (200mg) every week. My levels are now up and I feel great! Libido is excellent and , coupled with strength training, I have gained 6 lbs. of muscle mass. The injections are administered by my wife and are quick, easy and mostly pain free.
Deficiency of Luteinizing Hormone-Releasing Hormone	seg, 35-44 Male  on Treatment for 10 years or more (Patient) 	5	4	5	Male	35-44	6/2/2011 2:57:37 PM	i have a non cancerous tumor on the Pituitary gland.  causes low test and thyroid.  my last baseline was 104 ng.  started treatment at 400mgs a week 11 years ago along with armorothyroid. I went from 525 to 340 pounds.  now due to insurance issues i have not been able to take it as prescribed if at all.  I have gained back 65 pounds and feel horrible.
Other	35-44 Male  on Treatment for 1 to 6 months (Patient) 	2	3	2	Male	35-44	5/7/2011 12:50:33 AM	
Absence of Testicles	last gentleman, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) 	2	2	3	Male	45-54	4/13/2011 10:27:22 AM	Due to a birth defect I had testicular complications in my late 40's and had to have an orchiectomy. I was one testical undecended from birth that was not working at all and had been removed about 6 years ago. I had my levels tested then, and was in the 200 range. I used androgel which caused a skin rash, and after having complications with my other testicle and having to have it removed, the doctors decided on cypionate injections. The only body mass large enough I had to take the injection in was the in the buttocks which made it difficult to self inject. The shots boosted my levels as high in the beggining to the 800 to 1000 level and then after getting the dose corrected, it leveled out to around 700 at the peak. The injections helped with everything, energy, libido, muscle mass, chest and facial hair, and health in general. Didn't help with my X-wife!!! She wasn't ready for the changed me.   Only problem I've had is that after 2 years of injections, my levels have steadily dropped off. I have a weekly shot that has varied from 1.2 to .75ml and get tested two days afterwards. On the 3rd year I have had a steady decrease in the levels and even ywo readings of ZERO for the lab. The doctors can't figure it out. If anyone out there has had similar results and what they found to help, please rely. I'm taking DHEA suppliments now due to low levels there too.
Other	45-54 Male  on Treatment for 1 to 6 months (Patient) 	5	4	5	Male	45-54	1/20/2011 3:24:05 PM	I was on Androgel for 3 years. It never worked well for me and stopped working all together a few months ago. I switched to 100mg/week of TC and now wish I had been on injections the whole time. My T levels went from 365 to 731 and I feel 100% better. Endurance, muscle mass, and libido have improved dramatically and ED has almost disappeared in just 3 months.
Other	55-64 Male  on Treatment for less than 1 month (Patient) 	1	5	1	Male	55-64	1/17/2011 1:31:21 AM	tiredness, sleep apnea
