Parkinson's Disease	Maria, 75 or over Female  on Treatment for 1 to 6 months (Patient) 	4	4	3	Female		8/1/2012 11:17:31 AM	
Parkinson's Disease	Guest, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) 	1	1	1	Female	55-64	7/26/2012 2:18:40 PM	I only has a slight tremor in my right hand, when i started taking this drug i developed all the symptoms of Parkinson&#180;s. My family thought they where going to lose me as I was virtualy a cabbage, couldn&#180;t speak properly sleeping all the time falling over. I decided to come off the Drug and am now nearly back to what i was before, still have stiffness in back of legs but getting less as time goes on. I now think I have misdiagnosed, but Dr&#180;s won&#180;t listen to me.
Other	55-64 Female  on Treatment for less than 1 month (Patient) 	3	1	1	Female	55-64	7/23/2012 8:59:55 PM	Lacinating nerve pain spine to feet, shoulders to hands. Vivid dreams, excessive somulence.
Extreme Discomfort in Calves when Sitting or Lying Down	jojo, 45-54 Male  on Treatment for 1 to less than 2 years (Patient) 	4	4	2	Male	45-54	7/4/2012 12:00:01 PM	SIDE EFFECTS: body/muscle/joint pain.  Serious enough to take pain meds for it.  requip works great for RLS but side effects are bad.  i was taking 4mgs at night. Anyone else have this side effect??
Other	45-54 Female  on Treatment for 1 to 6 months (Patient) 	4	4	3	Female	45-54	7/2/2012 7:15:41 PM	
Extreme Discomfort in Calves when Sitting or Lying Down	Peggy, 55-64 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Female	55-64	6/15/2012 4:38:02 PM	Afer a diagnosis of restless leg syndrome by my neurologist,he prescribed Requip to take in the early evening.  It has really helped me and I get to sleep so much easier.
Extreme Discomfort in Calves when Sitting or Lying Down	45-54 Female  on Treatment for less than 1 month (Patient) 	4	5	4	Female	45-54	6/8/2012 10:28:27 PM	
Extreme Discomfort in Calves when Sitting or Lying Down	Lin K, 55-64 Female  on Treatment for 1 to 6 months (Patient) 	1	5	1	Female	55-64	6/3/2012 6:24:49 AM	Requip worked for me for 30 days, then extreme pain &amp; heat in legs started, gout slowly developing and after 60 days want to stop medicine - cannot sleep with severe pain in legs during night and swelling of knees and toes!  I am stopping medication not worth it after 30 days. Now I barely can walk and &amp; am a healthy underweight person!
Other	Not sleepless but horny, 65-74 Male  on Treatment for 5 to less than 10 years (Patient) 	4	4	1	Male	65-74	6/2/2012 10:14:28 PM	Generally speaking, the drug does help me with restless body syndrome.  My case seem severe and I take 8 mg of generic Requip each night. I also take gababapenten and trazadone.  On top of that I drink three glasses or so of wine each evening to get to the point of being able to fall asleep.  In the morning I take 259 mg of Nuvagil to help with the previous evening's drugs.  I also have sleep apnea.I could probably live with this (for a time) but I am and have been all my life a very sexual person.  Requip does increase sexual &quot;urges&quot; but then shuts down (for the most part) a man's ability to (a) hold an erection and (b) ejaculate.  A viscous combo.  I'm so frustrated with Requip and would love to find either another drug to takes its place or another program to get off the stuff all together.  I hate racing around my house all night, eating to help me in some way, and then finally at 6 AM finally finding a way to get to sleep.  So, if you have a healthy libido and have RLS (or whatever) my advice is to take no drug and just resign yourself to not having a good life -- except on those rare occasions, you can have quality sex and truly enjoy your sexual body.
Extreme Discomfort in Calves when Sitting or Lying Down	sophie, 65-74 Female  on Treatment for 2 to less than 5 years (Patient) 	4	5	4	Female	65-74	5/11/2012 9:38:03 PM	
Extreme Discomfort in Calves when Sitting or Lying Down	l.j., 55-64 Female  on Treatment for 1 to 6 months (Patient) 	5	5	5	Female	55-64	5/9/2012 10:17:56 PM	When doing leg exercises at least 3 hrs before bedtime, the pain in calves lessens and a lower dosage is recommended for requip usage.  
Extreme Discomfort in Calves when Sitting or Lying Down	55-64 on Treatment for 2 to less than 5 years (Patient) 	5	5	4		55-64	5/6/2012 1:16:59 PM	Works but too sleepy during day
Extreme Discomfort in Calves when Sitting or Lying Down		1	1	1			5/1/2012 5:44:47 PM	
Extreme Discomfort in Calves when Sitting or Lying Down	RLS sufferer, 65-74 Male  on Treatment for 5 to less than 10 years (Patient) 	4	4	3	Male	65-74	4/30/2012 7:24:59 AM	Been taking 2 mg Requip per day for over 5 years to combat RLS. I found that taking half mg tablets spread over the day starting at about noon allowed me to avoid increasing dosage. Recently however I have had to up dosage to 3 mg per day and the drug dosen't seem to be working. Up all night in constant missery for two nights now and even increased to 4 mg but is not stopping my RLS symptoms. Those of you with RLS know how terrible that can be. My poor wife. 
