High Cholesterol	45-54 Male  on Treatment for 1 to 6 months (Patient) 	3	3	3	Male	45-54	7/22/2012 11:05:29 PM	
Low HDL Cholesterol	Broken Heart, 45-54 Female  on Treatment for less than 1 month (Patient) 	3	4	3	Female	45-54	6/24/2012 7:40:17 PM	This is my second week taking this medication, I take one pill before bed and also an aspiring thirty minutes before simcor. I also take Omega3 pills three time per day. Today was the first day that I saw my face red, like sunburn red, butI was not in the sun at all,  it lasedt a couple of hours and then it was gone just like that, I also noticed a change a slight change on my bowel habits more often and lots of rumbling noise from my stomach. The only side effect that seems to be bothersome is the dry skin, I feel my skin unusually dry and I'm constantly applying body lotion, hand cream, even my lips seemed dry, which has prompt me to drink more water. I never liked just plain water now I crave water all the time which seems to be helping loose the weight that I must loose. only two weeks since I began taking this med, I sure hope that I do not get the flushing that seems to be common. 
High Cholesterol	jsmith, 45-54 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	45-54	4/26/2012 10:33:05 PM	i only took this pill for 4 days....the 4th day i felt like i was dipped in fire from head to toe, i felt like i was going to throw up, i was very, very dizzy.  The worst part of this 45 min &quot;living hell&quot; was....my vision was pretty much gone....all i could see was a white blur on everything, and that lasted about 10 mins.....this was the longest 45 mins of my life...needless to say, i wont be taking this pill ever again....
Combined High Blood Cholesterol and Triglyceride Level	Janpot, 65-74 Female  on Treatment for 1 to less than 2 years (Patient) 	5	5	5	Female	65-74	11/19/2011 7:41:30 PM	Flushing controlled by taking 325 mg aspirin 30 min. before taking Simcor. Have decreased dosage of aspirin to 81 mg over a period of time and found this amount works for me as well.
Low HDL Cholesterol	55-64 Male  on Treatment for 1 to 6 months (Patient) 	4	5	3	Male	55-64	10/28/2011 4:03:56 PM	I was taking 1/2 pill per day without any side effects.  My doctor told me to increase to 1 whole pill per day.  After about a week, I woke up with my face feeling like it was on fire.  I tried getting to my feet but was very light headed and fell, hitting my head on the dresser.  I didn't know at the time that it was all associated with Simcor, and it scared the hell out of me.  I thought I was having the &quot;big one&quot;.  I'm going back to 1/2 pill and intend to take some aspirin with it.  I'm also going to take it at dinner time, because if I have intense flushing like that again, I'd rather have it when I'm awake than in the middle of the night.
Combined High Blood Cholesterol and Triglyceride Level	darcyh24, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	4	5	4	Female	25-34	10/19/2011 5:08:52 AM	I started taking Simcor several months ago.  I never had a problem with te &quot;flushing&quot; it kind of felt like a hot flash every once and a while. Thst is until I got a horrible migraine (nothing to do with this med) and I stopped taking all of my other medications because I was on some heavy pain meds.  When I got that situation cleared up I went directly back to taking 2 pills before bed.  the second night after taking 2 pills I was on FIRE! It was scarey I'll admit, but the Dr. did warn me about it.  I went back to 1 pill for 2 weeks then resumed with 2 pills.  I haven't had another problem since.
Increased Triglycerides and Cholesterol	Potcinske, 65-74 Male  on Treatment for 6 months to less than 1 year (Patient) 	5	5	5	Male	65-74	8/10/2011 10:07:07 PM	I have had no side effects at all. Both my bad cholesterol &amp; triglycerides have been lowered to the good level on Berkeley blood tests.
Combined High Blood Cholesterol and Triglyceride Level	jgeo, 35-44 Male  on Treatment for 1 to 6 months (Patient) 	4	3	2	Male	35-44	8/4/2011 9:44:31 AM	I started taking simcor about 3 months ago. The first week was a living hell.I turned into one big red hot chili pepper.It made my skin tingle and burn like theres no tomorrow.I thought my ears were going to explode they were so hot.But after the first week my body got used to it and there was only minor flushing here and there.Simcor worked good for my cholestrol but its done nothing for my triglycerides. 
High Cholesterol	quinnmcb, 25-34 Female  on Treatment for 1 to 6 months (Patient) 	4	3	4	Female	25-34	4/27/2011 1:04:14 AM	Let me first say that everyone complaining of the ON fire feeling...that is really normal. It's the niacin not the simvistatin. Also take 325mg of asprin...not 81 baby asprins...I am 30 and my cholesterol isn't that high but the size is and my bp isn't good. I can see where it would scare people that haven't been explained the &quot;flushing&quot; feeling. Yes it feels like a sunburn. So here is my advice. Use soft sheets, wear hardly anything, take asprin, and do not take this medicine until you are sure that you will be sleeping. If you have problems sleeping on this ask your dr about sleeping meds. It isn't as bad as some say on here. Good luck on your journey. 
High Cholesterol	RBinCA, 45-54 Male  on Treatment for less than 1 month (Patient) 	2	4	1	Male	45-54	4/12/2011 4:35:55 PM	Last night was my first night on this medication.  As directed, I had a snack one hour before taking the pill.  I woke up at 2:00 in the morning with flushing so severe my scalp and torso felt on fire.  As the flushing steadily intensified I became extremely dizzy and fainted within seconds of standing up.  The hot flash eventually subsided in 30 minutes, but it was a looooong 30 minutes.  Today, I have a slight headache accompanied by some lightheadedness.   I am going to pass on this and all Niacin meds.  Im going back to my Welchol  and adding flaxseed oil to my daily regimen.
