Other	sroby7629!, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	45-54	3/30/2012 11:43:30 AM	
Labor Pain	tristaj90, 19-24 Female  on Treatment for less than 1 month (Patient) 	5	5	4	Female	19-24	1/18/2012 6:48:15 PM	The medicine was great for my labor pain. I was given it at 4 cm dilated because I didn't want a epidural too early. It allowed me to sleep in between contractions (and I actually didn't feel much during my contractions). The only thing I didn't like was that it made me so out of it-I felt like I was having an out of body experience, and I felt out of control of myself. Other than that, it was a great medication for labor pain!
Pain	tlj1818, 45-54 Female  on Treatment for 5 to less than 10 years (Patient) 	5	5	5	Female	45-54	7/28/2011 3:36:04 PM	I have had migraines since I was 17 and have been on every drug they can give you.  Toridal, Imitrex, etc. did nothing to stop the pain or the vomiting (which is continuos.)  Stadol along with Vistaral has been a life saver!  The only time it doesn't work as well is if I wake up with a full blown migraine. Even then if I can get the Stadol in my system it will allow me to sleep long enough to get through the worst of it.  
Pain	Waterdog, 65-74 Male  on Treatment for 2 to less than 5 years (Patient) 	4	5	4	Male	65-74	7/26/2011 5:43:41 PM	I. Use the NS not the INJ I spray in my nose. Use for blinding headaches as a last resort. Only use when I'm prepared to stay home in bed as dizziness is a side effect but it's worth it for the pain relief I receive. Rx bottle is very small amount.
Additional Agent to Induce General Anesthesia	Jaycee2311, 55-64 Female  on Treatment for less than 1 month	1	1	1	Female	55-64	6/29/2011 8:46:22 PM	My Dr. used this drug on me a few days Monday of this week when I was getting a colonoscopy and an endoscopy, along with some Zophran and Versed.   It was the most terrible experience. I rasied up as best I could and told the nurse I was dying and asked where the Dr. was.  She told me it was just the meds that I was alright. When he started the procedure I was still awake but felt like I was dying. Rapid heart rate and I told them I could still feel everything he was doing, he said give her some more Versed. I was so drunk I remember nothing about the trip home and about 2:30 in the morning I thought I was going to have to go to the ER.  I was on fire and in the throws of a full-blown panic attack.  Shortness of breath, rapid heart rate.  I did not go but I felt like I was way out of control. Eventually I calmed down enough to slow my heart rate and breathing down. I had Zophran &amp; Versed the last time I had this done so I know that it had to be the Stadol that caused this reaction.  It would remind you of the effects that women say that date-rape drug has on you.  I felt like a rag doll and absolutely powerless to do anything about it!! No, I would not reccommend this to anyone. This drug is great for people who just want to get high!! For me never again!!
Labor Pain	Beth, 45-54 Female  on Treatment for less than 1 month (Patient) 	1	3	1	Female	45-54	6/29/2011 9:58:21 AM	A horrible experience.  The drug did NOTHING for pain. I could not speak, felt dizzy and out of control.  The labor was excrutiating. I was on pitocin and unable to communicate or even move. 26 hour labor, 4 hours pushing.
Pain	mrs migraine, 35-44 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	35-44	6/19/2011 10:40:35 AM	stadol is one of only two medications that will stop my migraine headaches. it works very well, very quickly and helps me rest.
Labor Pain	25-34 Female  on Treatment for less than 1 month (Patient) 	5	5	4	Female	25-34	3/29/2011 1:47:47 AM	I was given this medication during labor, it was enough to reduce the intensity of the contractions.  Allowing my body to rest and recover prior to delivery.  This was a good pain medicine for me, and I did not need an epideral.
Pain	lilmama_hkb, 19-24 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	19-24	3/25/2011 1:01:30 PM	I was diagnosed with cluster headaches when I was 22, they are killers! The doctor told me that they are 100 times worse than migraines. I tired everything...literally. The first time I had one I had to drive 2hrs from  where I lived beacuse the doctors didnt know what was wrong. Once i got there I was put in the hospital for three days for stroke like symtoms the whole right side of my body was numb my eye was almost completly closed. They were coming so frequently that I was in the er so many times it was becoming emmbarrasing.Once I found what it was andwhat worked for me it was the best relief ever. I have my Stadol nasal spray and my Imitex stat dose pluse Oxygen. Usually I can keep them at bay with my Stadol but once they get to a point where I just cant stand it anymore then I have to use the shots and oxygen. But the Stadol alone helps me alot. If I catch them in time.
Pain	chetb1976, 25-34 Male  on Treatment for 1 to 6 months (Patient) 	5	5	5	Male	25-34	12/2/2010 1:02:56 PM	I have had chronic daily headaches and migraines for the past 20 years. I have been on every pain med there is, and the stadol spray seemed to usually always work. I have had injections at my doctor's office, and usually in the ER I would get demerol &amp; phenergan or nubain. It seemed like the nubain worked better when I had to go into the doctor. I have been on hydrocodone, ultram, demerol pills, talacen, oxycontin &amp; now take oxycodone up to 6 per day. The best thing that works for me is called Dihydroergotamine. It is an injection, the same med that is in Migranal spray. I give it to myself IM with an oxycodone &amp; it usually knocks out the pain!! But my doctor only wants me to use it once or twice a week! I'm asking about Stadol spray &amp; injection when I go back this month!! 
