Falciparum Malaria Resistant to the Medication Chloroquine	Ammavila, 35-44 Female  on Treatment for 1 to 6 months (Patient) 	1	1	1	Female	35-44	9/29/2012 1:06:06 PM	I took Lariam during two different trips to Africa, a month-long trip and a three month trip a year later. I suffered from hallucinations, vivid dreams, and nightmares during which I sat bolt upright in my bed, screamed at the top of my lungs, yet didn't wake up. (My friends witnessed this, lucky them.) I had seizures. I physically attacked a friend who said she didn't have a light for my cigarette. (I was convinced that she was lying). I became so angry that my mind went red, I couldn't think, and I jumped her. I had to be pulled off her. I was in a manic state, couldn't sleep, grandiose thoughts, talking all the time.15 years later, and I still talk in my sleep and have night terrors. I wouldn't wish this drug on my worst enemy. If I had to take it again I fully believe that I would wind up killing myself or someone else. This drug is an instrument of torture. No wonder they use it on prisoners at Guantanamo Bay!
Preventive Treatment of Vivax Malaria	Radar, 35-44 Male  on Treatment for 1 to 6 months (Patient) 	1	4	1	Male	35-44	3/5/2012 12:07:40 AM	Prescribed for military deployment to Afghanistan. No problems for 1st month (once per week). After one month--amazing &quot;hi-def&quot; dreams. Next came most HORRIFIC dreams screaming to awakening! Scared hell out of room-mate! Changed to doxicylene ASAP! Don't take this shit! YIKES!!!! 
Prevention of Falciparum Malaria that is Resistant to Chloroquine	25-34 Male  on Treatment for less than 1 month (Patient) 	4	5	2	Male	25-34	4/22/2011 12:15:51 PM	the side effects I had in the first two weeks it cause me loose stool which stopped after that. In the fourth week I start to complian from numbness in both hands. I also had an episode of one day flu like symptoms. In the six week I had strange dreams, like I'm watching cartoons. The numbness increased so that one night I jumped from my bed and start screaming, I was hallucinating. It ssems that the drug accumulate in my body. It has many serious drug-drug interactions that the patient should be informed about.
Preventive Treatment of Vivax Malaria	KingoftheTeam, 45-54 Male  on Treatment for 1 to 6 months (Patient) 	5	5	5	Male	45-54	7/21/2010 10:10:11 PM	Not sure if I was ever exposed to Malaria but frequented areas that required preventive measures.  Only side effects eperienced was diarrhea and strange dreams.  
Other	Michael, 25-34 Male  on Treatment for 6 months to less than 1 year (Patient) 	3	5	1	Male	25-34	3/11/2010 9:46:44 PM	While stationed in Afghanistan for 9 months,I took mefloquine.My only side effect at first were vivid dreams or night terrors.It was after I stoped taking the drug that the nausea,diahrea,headaches, anxiety,night sweats (daily), and nightmares(daily) began.It has been seven years and I still expirience these side effects.
Prevention of Falciparum Malaria that is Resistant to Chloroquine	Anti-mefloquin, 25-34 Female  on Treatment for less than 1 month (Patient) 	1	1	1	Female	25-34	11/30/2009 12:24:10 PM	I post this as a warning to anyone with any history of depression or other mental health issues.  I took this drug as a malaria preventative when I went abroad last year.  Mefloquin literally spun me into a mania that required extensive hospitalization abroad and upon my return for psychiatric issues.  I was hallucinating, couldn't sleep, had racing thoughts, tons of energy, was extremely emotional and out of my head.  Horrifying in every respect.  I missed two months of work.  I now know that I will never again take a quinolone-class antibiotic and have it listed as a drug allergy.
Preventive Treatment of Vivax Malaria	steve, 19-24 Male  on Treatment for less than 1 month (Patient) 	5	5	1	Male	19-24	11/21/2009 4:19:50 PM	being stationed oversees, it was necessecary for us to be on this. i took the drug for 1 week, did not make it to the second dosage. i had a siezure a couple days after taking my first dosage.
Preventive Treatment of Vivax Malaria	Desert Fighter, 35-44 Male  on Treatment for 1 to 6 months (Patient) 	1	5	1	Male	35-44	11/5/2009 10:48:32 AM	Was prescribed this medication for prophylaxis treatment.  Was on it for almost 3 months. First 3 - 4 weeks I experienced vivid but not overly troubleing dreams.  By 4th week I became very agressive and had difficulty sleeping.  After two months began to experience anxiety and paranoia (thought co workers were &quot;out to get me&quot;). At 9 weeks I experienced &quot;night terrors&quot; the night I took my dose.  Anxiety became worse and I started to feel alternating anger and depression.  The day of my last dose I felt like I was shot with methadrine for the entire day. I finally realized the symptoms were worst on days I took this medicine. I did not realize how badly this drug was effecting my disposition and behavior. After the last dose I sought out medical treatment and was switched to doxycycline and given ambien to aid in sleeping over the next week.  Have people around you who are aware of possible side effects if you are using this medication.     
Prevention of Falciparum Malaria that is Resistant to Chloroquine	Pete, 35-44 Male  on Treatment for 6 months to less than 1 year (Patient) 	5	5	3	Male	35-44	3/22/2009 1:52:20 AM	Mefloquine worked for me in Afghanistan.  I started with Doxycycline. Doxycycline make me vomit after 5 days of continous use no matter if I took it with food, after meals or on a empty stomach.But!!!   I had strange dreams, and suffered from depression and mania.  I will take it again but also have mild anti-depressents to go along with it.  It worked well with little or no side effects when taken with remeron and effexor.
Preventive Treatment of Vivax Malaria	19-24 on Treatment for 1 to 6 months (Patient) 	5	4	4		19-24	9/15/2008 5:46:37 AM	I have been fortunate enough not to have any side effects during the 11 weeks I took this pill...well besides the first week when I had extreme nausea (from taking the pill on an empty stomach). I did not have any of the dreams or any other side effect. Where I went in Uganda Malaria has been very prevalent and I was bitten by mosquitos a lot of times but I never got sick from malaria. My experience was positive
